file,package,tonnage,tier,position,brand,model,page,column
sga_essential_5ton_best_1_carrier_26sca560w003.png,Essential,5,Best,1,Carrier,26SCA560W003,1,left
sga_essential_5ton_best_2_carrier_cvava6021xma.png,Essential,5,Best,2,Carrier,CVAVA6021XMA,1,left
sga_essential_5ton_best_3_carrier_58sb0b110m21--20.png,Essential,5,Best,3,Carrier,58SB0B110M21--20,1,left
sga_essential_5ton_best_4_carrier_eb-state3lticr-01.png,Essential,5,Best,4,Carrier,EB-STATE3LTICR-01,1,left
sga_essential_5ton_better_1_trane_5ttr5060a1000.png,Essential,5,Better,1,Trane,5TTR5060A1000,1,right
sga_essential_5ton_better_2_ameristar_5txcc009as3hc.png,Essential,5,Better,2,Ameristar,5TXCC009AS3HC,1,right
sga_essential_5ton_better_3_trane_s8x1c100m5psc.png,Essential,5,Better,3,Trane,S8X1C100M5PSC,1,right
sga_essential_5ton_better_4_trane_tcont724as42da.png,Essential,5,Better,4,Trane,TCONT724AS42DA,1,right
sga_essential_5ton_budget_1_runtru_a5ac4060a1000.png,Essential,5,Budget,1,RunTru,A5AC4060A1000,2,right
sga_essential_5ton_budget_2_runtru_5txcc007as3hc.png,Essential,5,Budget,2,RunTru,5TXCC007AS3HC,2,right
sga_essential_5ton_budget_3_runtru_a801x100cm5sd.png,Essential,5,Budget,3,RunTru,A801X100CM5SD,2,right
sga_essential_5ton_budget_4_trane_tcont724as42da.png,Essential,5,Budget,4,Trane,TCONT724AS42DA,2,right
sga_essential_5ton_good_1_trane_5ttr4060a1000.png,Essential,5,Good,1,Trane,5TTR4060A1000,2,left
sga_essential_5ton_good_2_ameristar_5txcc009as3hc.png,Essential,5,Good,2,Ameristar,5TXCC009AS3HC,2,left
sga_essential_5ton_good_3_trane_s8x1c100m5psc.png,Essential,5,Good,3,Trane,S8X1C100M5PSC,2,left
sga_essential_5ton_good_4_trane_tcont724as42da.png,Essential,5,Good,4,Trane,TCONT724AS42DA,2,left
sga_essential_4ton_best_1_carrier_26sca548w003.png,Essential,4,Best,1,Carrier,26SCA548W003,3,left
sga_essential_4ton_best_2_carrier_cvava4821xma.png,Essential,4,Best,2,Carrier,CVAVA4821XMA,3,left
sga_essential_4ton_best_3_carrier_58sb0b090m21--16.png,Essential,4,Best,3,Carrier,58SB0B090M21--16,3,left
sga_essential_4ton_best_4_carrier_eb-state3lticr-01.png,Essential,4,Best,4,Carrier,EB-STATE3LTICR-01,3,left
sga_essential_4ton_better_1_trane_5ttr5048a1000.png,Essential,4,Better,1,Trane,5TTR5048A1000,3,right
sga_essential_4ton_better_2_ameristar_5txcc009as3hc.png,Essential,4,Better,2,Ameristar,5TXCC009AS3HC,3,right
sga_essential_4ton_better_3_trane_s8x1c080m5psc.png,Essential,4,Better,3,Trane,S8X1C080M5PSC,3,right
sga_essential_4ton_better_4_trane_tcont724as42da.png,Essential,4,Better,4,Trane,TCONT724AS42DA,3,right
sga_essential_4ton_budget_1_runtru_a5ac4048a1000.png,Essential,4,Budget,1,RunTru,A5AC4048A1000,4,right
sga_essential_4ton_budget_2_runtru_5txcb006as3hc.png,Essential,4,Budget,2,RunTru,5TXCB006AS3HC,4,right
sga_essential_4ton_budget_3_runtru_a801x080bm4sd.png,Essential,4,Budget,3,RunTru,A801X080BM4SD,4,right
sga_essential_4ton_budget_4_trane_tcont724as42da.png,Essential,4,Budget,4,Trane,TCONT724AS42DA,4,right
sga_essential_4ton_good_1_trane_5ttr4048a1000.png,Essential,4,Good,1,Trane,5TTR4048A1000,4,left
sga_essential_4ton_good_2_ameristar_5txcb006as3hc.png,Essential,4,Good,2,Ameristar,5TXCB006AS3HC,4,left
sga_essential_4ton_good_3_trane_s8x1c080m5psc.png,Essential,4,Good,3,Trane,S8X1C080M5PSC,4,left
sga_essential_4ton_good_4_trane_tcont724as42da.png,Essential,4,Good,4,Trane,TCONT724AS42DA,4,left
sga_essential_3_5ton_best_1_trane_5ttr5042a1000.png,Essential,3.5,Best,1,Trane,5TTR5042A1000,5,left
sga_essential_3_5ton_best_2_ameristar_5txcc007as3hc.png,Essential,3.5,Best,2,Ameristar,5TXCC007AS3HC,5,left
sga_essential_3_5ton_best_3_trane_s8x1c080m5psc.png,Essential,3.5,Best,3,Trane,S8X1C080M5PSC,5,left
sga_essential_3_5ton_best_4_trane_tcont724as42da.png,Essential,3.5,Best,4,Trane,TCONT724AS42DA,5,left
sga_essential_3_5ton_better_1_trane_5ttr4042a1000.png,Essential,3.5,Better,1,Trane,5TTR4042A1000,5,right
sga_essential_3_5ton_better_2_ameristar_5txcb006as3hc.png,Essential,3.5,Better,2,Ameristar,5TXCB006AS3HC,5,right
sga_essential_3_5ton_better_3_trane_s8x1b080m4psc.png,Essential,3.5,Better,3,Trane,S8X1B080M4PSC,5,right
sga_essential_3_5ton_better_4_trane_tcont724as42da.png,Essential,3.5,Better,4,Trane,TCONT724AS42DA,5,right
sga_essential_3_5ton_budget_1_ameristar_a5ac4042a1000.png,Essential,3.5,Budget,1,Ameristar,A5AC4042A1000,6,right
sga_essential_3_5ton_budget_2_ameristar_5txcc007as3hc.png,Essential,3.5,Budget,2,Ameristar,5TXCC007AS3HC,6,right
sga_essential_3_5ton_budget_3_ameristar_a801x080cm5sd.png,Essential,3.5,Budget,3,Ameristar,A801X080CM5SD,6,right
sga_essential_3_5ton_budget_4_trane_tcont724as42da.png,Essential,3.5,Budget,4,Trane,TCONT724AS42DA,6,right
sga_essential_3_5ton_good_1_carrier_26sca542w003.png,Essential,3.5,Good,1,Carrier,26SCA542W003,6,left
sga_essential_3_5ton_good_2_carrier_cvava4821xma.png,Essential,3.5,Good,2,Carrier,CVAVA4821XMA,6,left
sga_essential_3_5ton_good_3_carrier_58sb0b090m21--16.png,Essential,3.5,Good,3,Carrier,58SB0B090M21--16,6,left
sga_essential_3_5ton_good_4_carrier_eb-state3lticr-01.png,Essential,3.5,Good,4,Carrier,EB-STATE3LTICR-01,6,left
sga_essential_3ton_best_1_trane_5ttr5036a1000.png,Essential,3,Best,1,Trane,5TTR5036A1000,7,left
sga_essential_3ton_best_2_trane_5txcb004as3hc.png,Essential,3,Best,2,Trane,5TXCB004AS3HC,7,left
sga_essential_3ton_best_3_trane_s8x1b060m4psc.png,Essential,3,Best,3,Trane,S8X1B060M4PSC,7,left
sga_essential_3ton_best_4_trane_tcont724as42da.png,Essential,3,Best,4,Trane,TCONT724AS42DA,7,left
sga_essential_3ton_better_1_carrier_26sca536w003.png,Essential,3,Better,1,Carrier,26SCA536W003,7,right
sga_essential_3ton_better_2_carrier_cvava3617xma.png,Essential,3,Better,2,Carrier,CVAVA3617XMA,7,right
sga_essential_3ton_better_3_carrier_58sb0b070m17--16.png,Essential,3,Better,3,Carrier,58SB0B070M17--16,7,right
sga_essential_3ton_better_4_carrier_eb-state3lticr-01.png,Essential,3,Better,4,Carrier,EB-STATE3LTICR-01,7,right
sga_essential_3ton_budget_1_runtru_a5ac4036a1000.png,Essential,3,Budget,1,RunTru,A5AC4036A1000,8,right
sga_essential_3ton_budget_2_runtru_5txcb004as3hc.png,Essential,3,Budget,2,RunTru,5TXCB004AS3HC,8,right
sga_essential_3ton_budget_3_runtru_a801x060bm4sd.png,Essential,3,Budget,3,RunTru,A801X060BM4SD,8,right
sga_essential_3ton_budget_4_trane_tcont724as42da.png,Essential,3,Budget,4,Trane,TCONT724AS42DA,8,right
sga_essential_3ton_good_1_trane_5ttr4036a1000.png,Essential,3,Good,1,Trane,5TTR4036A1000,8,left
sga_essential_3ton_good_2_ameristar_5txcb004as3hc.png,Essential,3,Good,2,Ameristar,5TXCB004AS3HC,8,left
sga_essential_3ton_good_3_trane_s8x1b060m4psc.png,Essential,3,Good,3,Trane,S8X1B060M4PSC,8,left
sga_essential_3ton_good_4_trane_tcont724as42da.png,Essential,3,Good,4,Trane,TCONT724AS42DA,8,left
sga_essential_2_5ton_best_1_trane_5ttr5030a1000.png,Essential,2.5,Best,1,Trane,5TTR5030A1000,9,left
sga_essential_2_5ton_best_2_ameristar_5txcb004as3hc.png,Essential,2.5,Best,2,Ameristar,5TXCB004AS3HC,9,left
sga_essential_2_5ton_best_3_trane_s8x1b060m4psc.png,Essential,2.5,Best,3,Trane,S8X1B060M4PSC,9,left
sga_essential_2_5ton_best_4_trane_tcont724as42da.png,Essential,2.5,Best,4,Trane,TCONT724AS42DA,9,left
sga_essential_2_5ton_better_1_trane_5ttr4030a1000.png,Essential,2.5,Better,1,Trane,5TTR4030A1000,9,right
sga_essential_2_5ton_better_2_ameristar_5txcb003as3hc.png,Essential,2.5,Better,2,Ameristar,5TXCB003AS3HC,9,right
sga_essential_2_5ton_better_3_trane_s8x1b060m4psc.png,Essential,2.5,Better,3,Trane,S8X1B060M4PSC,9,right
sga_essential_2_5ton_better_4_trane_tcont724as42da.png,Essential,2.5,Better,4,Trane,TCONT724AS42DA,9,right
sga_essential_2_5ton_budget_1_ameristar_a5ac4030a1000.png,Essential,2.5,Budget,1,Ameristar,A5AC4030A1000,10,right
sga_essential_2_5ton_budget_2_runtru_5txcb004as3hc.png,Essential,2.5,Budget,2,RunTru,5TXCB004AS3HC,10,right
sga_essential_2_5ton_budget_3_runtru_a801x060bm4sd.png,Essential,2.5,Budget,3,RunTru,A801X060BM4SD,10,right
sga_essential_2_5ton_budget_4_trane_tcont724as42da.png,Essential,2.5,Budget,4,Trane,TCONT724AS42DA,10,right
sga_essential_2_5ton_good_1_carrier_26sca530w003.png,Essential,2.5,Good,1,Carrier,26SCA530W003,10,left
sga_essential_2_5ton_good_2_carrier_cvava3014xma.png,Essential,2.5,Good,2,Carrier,CVAVA3014XMA,10,left
sga_essential_2_5ton_good_3_carrier_58sb0b045m14--12.png,Essential,2.5,Good,3,Carrier,58SB0B045M14--12,10,left
sga_essential_2_5ton_good_4_carrier_eb-state3lticr-01.png,Essential,2.5,Good,4,Carrier,EB-STATE3LTICR-01,10,left
sga_essential_2ton_best_1_trane_5ttr5024a1000.png,Essential,2,Best,1,Trane,5TTR5024A1000,11,left
sga_essential_2ton_best_2_trane_5txcb003as3hc.png,Essential,2,Best,2,Trane,5TXCB003AS3HC,11,left
sga_essential_2ton_best_3_trane_s8x1b040m2psc.png,Essential,2,Best,3,Trane,S8X1B040M2PSC,11,left
sga_essential_2ton_best_4_trane_tcont724as42da.png,Essential,2,Best,4,Trane,TCONT724AS42DA,11,left
sga_essential_2ton_better_1_trane_5ttr4024a1000.png,Essential,2,Better,1,Trane,5TTR4024A1000,11,right
sga_essential_2ton_better_2_trane_5txca001as3hc.png,Essential,2,Better,2,Trane,5TXCA001AS3HC,11,right
sga_essential_2ton_better_3_trane_s8x1b040m2psc.png,Essential,2,Better,3,Trane,S8X1B040M2PSC,11,right
sga_essential_2ton_better_4_trane_tcont724as42da.png,Essential,2,Better,4,Trane,TCONT724AS42DA,11,right
sga_essential_2ton_budget_1_runtru_a5ac4024a1000.png,Essential,2,Budget,1,RunTru,A5AC4024A1000,12,right
sga_essential_2ton_budget_2_runtru_5txcb003as3hc.png,Essential,2,Budget,2,RunTru,5TXCB003AS3HC,12,right
sga_essential_2ton_budget_3_runtru_a801x040am3sd.png,Essential,2,Budget,3,RunTru,A801X040AM3SD,12,right
sga_essential_2ton_budget_4_trane_tcont724as42da.png,Essential,2,Budget,4,Trane,TCONT724AS42DA,12,right
sga_essential_2ton_good_1_carrier_26sca524w003.png,Essential,2,Good,1,Carrier,26SCA524W003,12,left
sga_essential_2ton_good_2_carrier_cvava2414xma.png,Essential,2,Good,2,Carrier,CVAVA2414XMA,12,left
sga_essential_2ton_good_3_carrier_58sb0b045m14--12.png,Essential,2,Good,3,Carrier,58SB0B045M14--12,12,left
sga_essential_2ton_good_4_carrier_eb-state3lticr-01.png,Essential,2,Good,4,Carrier,EB-STATE3LTICR-01,12,left
sga_essential_1_5ton_best_1_trane_5ttr5018a1000.png,Essential,1.5,Best,1,Trane,5TTR5018A1000,13,left
sga_essential_1_5ton_best_2_ameristar_5txcb003as3hc.png,Essential,1.5,Best,2,Ameristar,5TXCB003AS3HC,13,left
sga_essential_1_5ton_best_3_trane_s8x1b040m2psc.png,Essential,1.5,Best,3,Trane,S8X1B040M2PSC,13,left
sga_essential_1_5ton_best_4_trane_tcont724as42da.png,Essential,1.5,Best,4,Trane,TCONT724AS42DA,13,left
sga_essential_1_5ton_better_1_trane_5ttr4018a1000.png,Essential,1.5,Better,1,Trane,5TTR4018A1000,13,right
sga_essential_1_5ton_better_2_ameristar_5txca001as3hc.png,Essential,1.5,Better,2,Ameristar,5TXCA001AS3HC,13,right
sga_essential_1_5ton_better_3_trane_s8x1a040m3psc.png,Essential,1.5,Better,3,Trane,S8X1A040M3PSC,13,right
sga_essential_1_5ton_better_4_trane_tcont724as42da.png,Essential,1.5,Better,4,Trane,TCONT724AS42DA,13,right
sga_essential_1_5ton_budget_1_ameristar_a5ac4018a1000.png,Essential,1.5,Budget,1,Ameristar,A5AC4018A1000,14,right
sga_essential_1_5ton_budget_2_ameristar_a801x040am3sd.png,Essential,1.5,Budget,2,Ameristar,A801X040AM3SD,14,right
sga_essential_1_5ton_budget_3_runtru_5txca001as3hc.png,Essential,1.5,Budget,3,RunTru,5TXCA001AS3HC,14,right
sga_essential_1_5ton_budget_4_trane_tcont724as42da.png,Essential,1.5,Budget,4,Trane,TCONT724AS42DA,14,right
sga_essential_1_5ton_good_1_carrier_26sca518w003.png,Essential,1.5,Good,1,Carrier,26SCA518W003,14,left
sga_essential_1_5ton_good_2_carrier_cvava2414xma.png,Essential,1.5,Good,2,Carrier,CVAVA2414XMA,14,left
sga_essential_1_5ton_good_3_carrier_58sb0b045m14--12.png,Essential,1.5,Good,3,Carrier,58SB0B045M14--12,14,left
sga_essential_1_5ton_good_4_carrier_eb-state3lticr-01.png,Essential,1.5,Good,4,Carrier,EB-STATE3LTICR-01,14,left
